County,FIPS,Region,Region ID,Region Color (hex)
Anderson,48001,Dallas/Collin/NE,2,#4A0404
Andrews,48003,EP/Border/RGV,5,#F9F2D4
Angelina,48005,HOU/Gulf/East,3,#6287B5
Aransas,48007,SA/Corpus,6,#809351
Archer,48009,FW/Denton/Panhandle,4,#D0BCA3
Armstrong,48011,FW/Denton/Panhandle,4,#D0BCA3
Atascosa,48013,SA/Corpus,6,#809351
Austin,48015,HOU/Gulf/East,3,#6287B5
Bailey,48017,FW/Denton/Panhandle,4,#D0BCA3
Bandera,48019,SA/Corpus,6,#809351
Bastrop,48021,AUS/CenTex,7,#E3F0FC
Baylor,48023,FW/Denton/Panhandle,4,#D0BCA3
Bee,48025,SA/Corpus,6,#809351
Bell,48027,AUS/CenTex,7,#E3F0FC
Bexar,48029,SA/Corpus,6,#809351
Blanco,48031,AUS/CenTex,7,#E3F0FC
Borden,48033,EP/Border/RGV,5,#F9F2D4
Bosque,48035,AUS/CenTex,7,#E3F0FC
Bowie,48037,Dallas/Collin/NE,2,#4A0404
Brazoria,48039,HOU/Gulf/East,3,#6287B5
Brazos,48041,AUS/CenTex,7,#E3F0FC
Brewster,48043,EP/Border/RGV,5,#F9F2D4
Briscoe,48045,FW/Denton/Panhandle,4,#D0BCA3
Brooks,48047,EP/Border/RGV,5,#F9F2D4
Brown,48049,FW/Denton/Panhandle,4,#D0BCA3
Burleson,48051,AUS/CenTex,7,#E3F0FC
Burnet,48053,AUS/CenTex,7,#E3F0FC
Caldwell,48055,AUS/CenTex,7,#E3F0FC
Calhoun,48057,SA/Corpus,6,#809351
Callahan,48059,FW/Denton/Panhandle,4,#D0BCA3
Cameron,48061,EP/Border/RGV,5,#F9F2D4
Camp,48063,Dallas/Collin/NE,2,#4A0404
Carson,48065,FW/Denton/Panhandle,4,#D0BCA3
Cass,48067,Dallas/Collin/NE,2,#4A0404
Castro,48069,FW/Denton/Panhandle,4,#D0BCA3
Chambers,48071,HOU/Gulf/East,3,#6287B5
Cherokee,48073,Dallas/Collin/NE,2,#4A0404
Childress,48075,FW/Denton/Panhandle,4,#D0BCA3
Clay,48077,FW/Denton/Panhandle,4,#D0BCA3
Cochran,48079,FW/Denton/Panhandle,4,#D0BCA3
Coke,48081,EP/Border/RGV,5,#F9F2D4
Coleman,48083,FW/Denton/Panhandle,4,#D0BCA3
Collin,48085,Dallas/Collin/NE,2,#4A0404
Collingsworth,48087,FW/Denton/Panhandle,4,#D0BCA3
Colorado,48089,HOU/Gulf/East,3,#6287B5
Comal,48091,SA/Corpus,6,#809351
Comanche,48093,FW/Denton/Panhandle,4,#D0BCA3
Concho,48095,EP/Border/RGV,5,#F9F2D4
Cooke,48097,FW/Denton/Panhandle,4,#D0BCA3
Coryell,48099,AUS/CenTex,7,#E3F0FC
Cottle,48101,FW/Denton/Panhandle,4,#D0BCA3
Crane,48103,EP/Border/RGV,5,#F9F2D4
Crockett,48105,EP/Border/RGV,5,#F9F2D4
Crosby,48107,FW/Denton/Panhandle,4,#D0BCA3
Culberson,48109,EP/Border/RGV,5,#F9F2D4
Dallam,48111,FW/Denton/Panhandle,4,#D0BCA3
Dallas,48113,Dallas/Collin/NE,2,#4A0404
Dawson,48115,EP/Border/RGV,5,#F9F2D4
DeWitt,48123,SA/Corpus,6,#809351
Deaf Smith,48117,FW/Denton/Panhandle,4,#D0BCA3
Delta,48119,Dallas/Collin/NE,2,#4A0404
Denton,48121,FW/Denton/Panhandle,4,#D0BCA3
Dickens,48125,FW/Denton/Panhandle,4,#D0BCA3
Dimmit,48127,EP/Border/RGV,5,#F9F2D4
Donley,48129,FW/Denton/Panhandle,4,#D0BCA3
Duval,48131,EP/Border/RGV,5,#F9F2D4
Eastland,48133,FW/Denton/Panhandle,4,#D0BCA3
Ector,48135,EP/Border/RGV,5,#F9F2D4
Edwards,48137,EP/Border/RGV,5,#F9F2D4
El Paso,48141,EP/Border/RGV,5,#F9F2D4
Ellis,48139,Dallas/Collin/NE,2,#4A0404
Erath,48143,FW/Denton/Panhandle,4,#D0BCA3
Falls,48145,AUS/CenTex,7,#E3F0FC
Fannin,48147,Dallas/Collin/NE,2,#4A0404
Fayette,48149,AUS/CenTex,7,#E3F0FC
Fisher,48151,FW/Denton/Panhandle,4,#D0BCA3
Floyd,48153,FW/Denton/Panhandle,4,#D0BCA3
Foard,48155,FW/Denton/Panhandle,4,#D0BCA3
Fort Bend,48157,HOU/Gulf/East,3,#6287B5
Franklin,48159,Dallas/Collin/NE,2,#4A0404
Freestone,48161,AUS/CenTex,7,#E3F0FC
Frio,48163,SA/Corpus,6,#809351
Gaines,48165,EP/Border/RGV,5,#F9F2D4
Galveston,48167,HOU/Gulf/East,3,#6287B5
Garza,48169,FW/Denton/Panhandle,4,#D0BCA3
Gillespie,48171,SA/Corpus,6,#809351
Glasscock,48173,EP/Border/RGV,5,#F9F2D4
Goliad,48175,SA/Corpus,6,#809351
Gonzales,48177,SA/Corpus,6,#809351
Gray,48179,FW/Denton/Panhandle,4,#D0BCA3
Grayson,48181,FW/Denton/Panhandle,4,#D0BCA3
Gregg,48183,Dallas/Collin/NE,2,#4A0404
Grimes,48185,AUS/CenTex,7,#E3F0FC
Guadalupe,48187,SA/Corpus,6,#809351
Hale,48189,FW/Denton/Panhandle,4,#D0BCA3
Hall,48191,FW/Denton/Panhandle,4,#D0BCA3
Hamilton,48193,AUS/CenTex,7,#E3F0FC
Hansford,48195,FW/Denton/Panhandle,4,#D0BCA3
Hardeman,48197,FW/Denton/Panhandle,4,#D0BCA3
Hardin,48199,HOU/Gulf/East,3,#6287B5
Harris,48201,HOU/Gulf/East,3,#6287B5
Harrison,48203,Dallas/Collin/NE,2,#4A0404
Hartley,48205,FW/Denton/Panhandle,4,#D0BCA3
Haskell,48207,FW/Denton/Panhandle,4,#D0BCA3
Hays,48209,AUS/CenTex,7,#E3F0FC
Hemphill,48211,FW/Denton/Panhandle,4,#D0BCA3
Henderson,48213,Dallas/Collin/NE,2,#4A0404
Hidalgo,48215,EP/Border/RGV,5,#F9F2D4
Hill,48217,AUS/CenTex,7,#E3F0FC
Hockley,48219,FW/Denton/Panhandle,4,#D0BCA3
Hood,48221,FW/Denton/Panhandle,4,#D0BCA3
Hopkins,48223,Dallas/Collin/NE,2,#4A0404
Houston,48225,HOU/Gulf/East,3,#6287B5
Howard,48227,EP/Border/RGV,5,#F9F2D4
Hudspeth,48229,EP/Border/RGV,5,#F9F2D4
Hunt,48231,Dallas/Collin/NE,2,#4A0404
Hutchinson,48233,FW/Denton/Panhandle,4,#D0BCA3
Irion,48235,EP/Border/RGV,5,#F9F2D4
Jack,48237,FW/Denton/Panhandle,4,#D0BCA3
Jackson,48239,SA/Corpus,6,#809351
Jasper,48241,HOU/Gulf/East,3,#6287B5
Jeff Davis,48243,EP/Border/RGV,5,#F9F2D4
Jefferson,48245,HOU/Gulf/East,3,#6287B5
Jim Hogg,48247,EP/Border/RGV,5,#F9F2D4
Jim Wells,48249,EP/Border/RGV,5,#F9F2D4
Johnson,48251,FW/Denton/Panhandle,4,#D0BCA3
Jones,48253,FW/Denton/Panhandle,4,#D0BCA3
Karnes,48255,SA/Corpus,6,#809351
Kaufman,48257,Dallas/Collin/NE,2,#4A0404
Kendall,48259,SA/Corpus,6,#809351
Kenedy,48261,EP/Border/RGV,5,#F9F2D4
Kent,48263,FW/Denton/Panhandle,4,#D0BCA3
Kerr,48265,SA/Corpus,6,#809351
Kimble,48267,EP/Border/RGV,5,#F9F2D4
King,48269,FW/Denton/Panhandle,4,#D0BCA3
Kinney,48271,EP/Border/RGV,5,#F9F2D4
Kleberg,48273,EP/Border/RGV,5,#F9F2D4
Knox,48275,FW/Denton/Panhandle,4,#D0BCA3
La Salle,48283,EP/Border/RGV,5,#F9F2D4
Lamar,48277,Dallas/Collin/NE,2,#4A0404
Lamb,48279,FW/Denton/Panhandle,4,#D0BCA3
Lampasas,48281,AUS/CenTex,7,#E3F0FC
Lavaca,48285,SA/Corpus,6,#809351
Lee,48287,AUS/CenTex,7,#E3F0FC
